gpa,college_tier,study_time,switch_months,risk_score,ambition_score,stability_score,learning_score,salary_priority,wlb_preference,ctc,company_type,location_tier,workload_score,skill_match,savings_rate,switch_probability,predicted_2yr_salary,satisfaction_score
7.5,3,1.51,16,5,5,6,9,4,10,8.7,4,2,4.15,40,66.02,46.1,12.24,56.57
8.47,1,1.61,16,9,6,2,10,5,7,17.71,3,3,4.76,57,53.07,48.1,23.18,51.13
6.44,1,1.37,19,10,2,4,3,8,9,7.95,1,2,7.67,88,32.12,36.7,12.64,51.39
8.8,3,0.93,29,1,3,5,8,7,4,4.43,5,3,6.9,44,61.58,33.3,6.81,55.04
7.36,2,2.84,16,4,7,5,10,7,10,15.76,1,2,6.37,78,45.24,59.4,28.68,60.99
7.47,1,3.47,23,5,7,8,3,5,2,15.22,5,1,5.18,54,62.6,58.7,30.18,66.5
9.2,3,3.64,23,10,6,5,7,5,10,8.63,5,3,8.74,58,20.56,60.4,14.59,55.06
6.58,1,2.11,15,8,3,7,1,3,3,9.51,2,2,4.74,69,24.73,46.099999999999994,18.58,60.48
6.66,1,1.35,35,6,8,4,2,5,3,19.14,1,2,8.94,62,49.04,48.5,33.5,50.72
7.16,3,3.27,35,6,3,2,1,10,8,10.53,3,2,6.61,41,53.79,41.7,15.55,50.31
6.82,2,1.91,13,8,1,8,8,7,3,4.75,4,2,6.67,85,47.99,37.099999999999994,6.16,53.55
7.18,1,0.91,29,1,7,3,1,5,4,16.0,5,3,8.5,70,67.26,47.1,19.26,57.82
9.17,3,2.22,23,7,5,9,10,10,10,11.92,1,2,6.13,73,36.7,42.2,22.77,57.63
7.99,2,1.61,23,2,5,8,8,3,4,19.36,1,2,8.45,42,52.42,46.1,25.1,48.91
7.13,1,2.23,18,8,2,6,2,7,3,16.64,2,3,4.41,88,52.67,39.3,23.91,62.14
8.74,1,0.75,27,1,7,1,2,4,7,14.93,2,3,4.75,53,24.39,47.5,30.76,61.85
6.5,1,3.37,31,9,5,2,2,9,5,18.2,2,1,6.83,73,49.95,50.7,25.86,57.41
8.55,2,2.27,34,2,9,3,4,4,10,15.05,3,1,6.84,73,46.94,51.7,27.29,66.7
7.25,1,3.02,35,6,5,8,7,2,10,23.52,5,3,4.14,44,57.62,63.2,38.29,66.29
9.03,2,1.68,22,5,9,9,7,9,4,5.76,5,1,7.77,83,64.52,52.8,9.22,63.19
9.36,1,3.3,36,9,7,6,4,7,10,14.0,5,3,5.67,42,63.94,58.0,29.85,62.59
6.94,1,0.86,36,5,6,1,7,7,1,19.71,4,3,7.81,59,21.03,33.6,33.02,47.02
7.43,1,0.89,17,6,5,6,9,9,6,12.41,2,3,8.18,53,21.18,37.9,21.75,48.49
9.36,3,1.58,35,3,4,3,5,2,6,21.56,2,1,5.68,40,53.07,44.8,37.11,60.07
7.12,1,3.42,22,3,5,7,10,4,10,12.76,4,1,5.61,51,32.93,58.2,21.76,55.86
8.39,2,2.47,22,4,9,9,5,2,5,18.49,3,1,7.14,67,26.41,59.7,27.41,53.45
9.25,1,3.51,21,10,2,2,3,8,10,18.07,4,1,4.47,83,26.37,55.099999999999994,29.73,59.0
8.49,2,1.49,18,7,8,7,8,3,2,24.3,2,2,6.08,92,68.75,39.9,49.4,66.89
6.22,1,1.58,12,9,4,5,4,3,8,6.76,1,2,4.19,52,52.28,46.8,14.6,62.04
8.56,2,2.38,18,1,2,6,9,7,6,16.06,4,1,4.5,59,32.66,43.8,23.37,58.2
8.55,2,2.4,28,9,10,1,2,8,4,23.76,3,3,4.99,82,50.09,64.0,30.32,60.92
7.64,1,0.95,22,4,7,1,1,3,8,15.48,2,2,6.85,60,29.68,41.5,20.9,53.18
9.06,1,1.16,25,8,6,3,6,8,7,10.53,2,1,7.12,56,34.66,44.6,15.22,52.87
6.92,3,2.85,18,2,6,6,9,8,10,9.19,4,2,6.6,56,48.54,58.5,12.26,53.07
7.97,2,2.51,35,7,3,1,8,2,1,9.4,1,2,6.2,73,69.84,45.099999999999994,17.0,64.1
6.02,2,2.02,32,1,2,4,5,3,1,10.54,3,2,5.3,80,61.87,32.2,14.11,52.72
7.11,1,2.44,14,2,3,1,9,7,2,16.94,5,2,5.73,87,57.67,53.4,32.95,72.82
8.9,3,2.98,30,3,6,8,2,3,8,23.82,1,3,8.33,78,32.55,52.8,29.04,49.96
7.11,2,2.93,24,9,8,4,2,6,1,13.27,5,1,6.0,76,45.93,57.3,19.57,63.92
6.7,3,3.19,23,6,5,3,2,4,2,20.26,3,2,6.42,42,56.17,60.9,25.23,52.57
7.12,2,1.07,25,9,4,3,8,2,6,5.23,4,2,5.82,79,37.91,27.700000000000003,7.28,54.31
6.34,3,1.83,25,1,6,4,1,8,3,8.31,3,2,6.4,72,62.55,50.3,16.49,69.53
8.32,2,2.89,29,5,6,5,9,8,5,11.4,3,1,8.84,67,31.19,58.900000000000006,23.38,55.83
7.4,1,0.68,15,5,8,1,8,2,5,15.25,5,1,8.08,53,39.43,34.8,25.69,52.79
9.49,2,1.75,18,5,3,9,10,4,1,4.65,1,3,5.08,60,61.2,33.5,8.49,55.36
6.33,2,2.46,12,2,10,3,5,5,1,8.76,5,2,6.91,56,33.6,72.6,13.94,59.57
9.45,2,3.7,29,6,7,5,8,5,8,19.86,2,1,7.84,54,24.04,71.0,41.76,65.75
8.11,3,0.85,25,2,10,6,2,7,7,5.87,4,1,4.17,82,52.79,53.5,7.53,64.16
7.48,1,1.83,15,1,4,2,8,1,3,16.69,5,2,8.44,54,40.23,48.3,31.23,53.11
9.58,3,3.99,36,8,8,3,3,9,7,9.07,2,3,6.93,91,46.38,83.9,16.99,71.26
9.49,1,2.14,23,3,3,5,7,6,7,21.35,5,3,5.74,47,61.01,35.400000000000006,40.99,53.76
9.52,3,2.31,33,7,8,9,7,4,1,7.91,5,1,8.6,80,63.82,63.1,10.64,65.22
9.69,3,3.45,24,10,8,6,4,10,1,10.52,4,2,4.15,52,30.15,74.5,21.98,68.76
8.69,1,3.71,13,4,9,9,10,4,8,15.22,3,3,4.46,65,23.33,66.1,25.12,59.84
9.46,1,1.66,35,8,10,10,1,7,8,12.81,1,2,7.16,88,29.75,53.599999999999994,24.53,62.32
8.67,1,1.57,34,6,9,5,2,5,6,23.32,2,1,8.47,48,41.97,45.7,35.9,48.22
6.43,1,1.52,36,3,2,5,2,8,4,18.3,1,3,7.58,82,20.73,22.2,27.35,48.79
7.17,1,0.54,32,7,6,1,6,7,2,5.71,3,2,7.03,87,28.99,30.4,8.54,51.26
6.86,2,0.57,25,6,4,2,6,10,6,6.08,5,3,6.36,76,34.89,28.7,12.66,62.58
7.55,1,2.66,30,3,5,8,1,10,7,17.55,1,2,6.08,43,69.66,52.6,38.46,70.4
6.8,2,1.97,25,8,7,6,7,4,5,15.37,5,1,4.27,54,60.18,57.7,29.35,68.7
9.49,1,1.4,34,9,8,8,8,1,8,22.12,2,1,4.86,64,31.51,57.0,46.84,70.08
8.08,1,2.45,36,2,2,3,4,2,6,15.37,1,3,7.83,87,53.69,48.5,25.15,60.21
8.41,1,2.44,23,2,9,4,1,9,1,22.01,2,2,8.7,57,69.8,51.4,31.55,53.55
9.4,3,3.3,22,5,10,9,6,6,5,22.74,5,2,4.18,95,61.25,82.0,32.07,79.56
6.95,2,2.29,23,4,7,2,1,5,1,20.91,3,1,5.55,48,42.31,48.9,39.8,60.83
7.46,1,3.52,18,8,5,4,5,4,9,10.64,1,1,7.01,62,63.55,57.2,16.37,60.34
8.48,3,3.7,12,10,9,4,7,4,3,22.44,1,3,6.58,58,30.19,67.0,32.25,60.47
6.62,3,0.91,30,3,7,5,3,10,3,9.3,3,2,6.82,48,23.0,48.1,12.65,45.89
7.61,2,1.96,12,2,7,3,10,8,5,18.65,5,1,4.57,73,41.93,45.6,22.95,56.51
6.46,3,1.61,24,6,3,5,7,3,1,16.02,5,3,7.6,52,61.79,27.1,22.34,50.0
9.32,3,2.85,34,7,9,5,4,4,10,10.96,5,2,8.84,61,69.02,58.5,19.27,63.48
6.02,2,2.29,21,7,7,6,5,4,2,10.12,2,3,7.18,78,29.46,58.9,22.11,63.81
6.48,3,0.94,22,1,5,1,10,7,4,24.4,4,3,5.44,61,52.96,25.4,41.16,54.63
8.14,1,1.17,30,6,10,2,6,2,2,20.02,1,1,8.34,77,27.15,57.7,29.96,55.07
8.83,3,2.06,36,5,4,2,1,3,6,23.12,4,1,4.1,64,36.49,38.6,28.61,50.99
9.77,2,1.18,34,9,4,8,10,6,8,17.61,5,3,4.52,58,61.37,29.799999999999997,25.42,56.2
6.41,1,2.01,36,4,9,9,9,9,2,19.92,2,1,8.56,71,24.49,51.099999999999994,27.46,52.23
6.65,2,2.31,17,9,6,10,7,1,5,13.62,1,3,7.97,93,51.47,45.1,20.36,60.68
7.38,2,2.5,23,6,6,8,8,1,3,7.27,2,1,5.93,72,49.89,56.0,10.0,60.13
7.09,1,2.8,22,2,8,2,7,1,2,4.82,2,2,7.03,51,47.49,59.0,8.9,54.75
6.21,3,3.34,21,8,4,1,1,9,10,12.0,1,2,6.13,52,39.68,65.4,17.82,56.47
8.56,2,2.78,28,2,8,1,10,7,4,23.59,2,3,8.36,46,33.34,67.8,35.32,51.53
6.61,1,0.55,21,3,3,10,2,5,6,23.42,5,2,8.81,83,38.12,27.5,31.95,47.03
8.86,2,2.24,12,4,1,7,4,9,1,23.85,1,3,7.6,71,51.56,36.400000000000006,37.24,56.22
8.57,3,2.85,33,4,8,1,2,5,6,20.71,4,2,4.4,85,39.09,70.5,25.42,61.92
7.35,2,2.02,19,9,7,9,6,10,6,11.83,2,3,6.33,54,61.25,47.2,22.54,60.74
9.52,3,1.32,15,6,2,6,10,5,3,18.39,3,3,7.91,54,29.72,38.2,39.09,58.86
9.53,2,2.93,21,10,1,3,5,7,5,9.16,2,3,8.7,76,63.38,32.3,18.37,55.21
7.81,1,1.3,17,7,10,3,5,4,2,9.86,1,3,5.28,57,23.88,58.0,13.91,54.43
6.9,1,0.63,34,9,4,6,5,5,8,4.8,5,3,5.66,80,69.6,19.3,8.25,57.04
6.06,3,2.57,21,8,1,3,7,3,8,4.66,5,3,7.45,61,41.89,29.7,6.54,49.59
7.84,2,2.17,26,1,6,7,7,5,8,4.7,3,2,8.58,59,57.42,52.7,8.61,60.51
6.79,2,2.86,29,1,1,3,7,4,2,7.45,5,1,8.75,40,47.01,31.599999999999998,11.88,44.75
8.96,3,3.55,14,9,7,10,3,2,1,19.0,2,1,5.62,79,34.04,67.5,23.52,62.51
6.34,1,1.41,20,4,10,9,2,1,3,4.28,3,1,6.03,68,21.17,46.1,5.51,46.97
9.75,2,3.71,29,7,2,4,8,4,8,13.61,5,1,6.86,89,38.47,63.1,26.38,69.59
8.75,1,0.75,25,2,4,3,7,6,3,7.76,4,1,7.96,49,69.03,26.5,16.17,56.97
8.5,1,2.84,29,5,5,4,6,4,3,21.0,2,3,6.04,91,34.95,63.4,29.85,62.11
9.5,2,0.51,15,2,3,4,7,1,1,17.43,2,1,7.12,54,35.77,18.1,29.62,43.39
7.52,3,3.12,23,4,5,4,7,1,2,18.52,1,1,6.46,52,28.17,50.2,27.45,46.5
7.03,2,2.89,34,8,7,1,10,10,1,10.62,2,3,6.55,91,69.64,52.900000000000006,16.68,68.24
7.36,1,0.91,26,9,2,10,1,9,7,20.19,3,3,8.79,85,39.33,22.1,30.65,51.87
7.93,1,2.77,14,6,7,9,7,10,4,4.88,4,1,4.24,81,52.57,64.7,6.53,63.43
9.55,3,2.13,36,10,9,1,1,10,2,21.69,1,1,5.22,69,64.94,54.3,30.98,57.91
9.15,1,3.28,33,7,1,3,1,8,6,7.09,5,3,8.21,76,53.15,51.8,9.27,50.57
8.27,3,3.91,15,1,5,4,8,6,3,5.13,5,2,8.09,89,48.93,62.1,7.24,63.2
8.76,3,0.98,20,1,4,10,2,7,7,8.26,2,1,4.07,82,52.4,26.8,10.9,56.89
9.16,2,0.58,24,1,6,8,6,7,2,13.23,2,1,6.52,92,66.28,33.8,18.06,57.85
8.78,2,2.14,32,9,2,5,8,10,10,21.81,3,1,5.68,81,40.81,47.400000000000006,44.73,67.5
6.83,3,1.96,23,8,6,5,5,5,9,9.57,4,1,7.34,75,35.02,46.6,20.88,65.71
6.11,3,1.52,34,6,3,3,6,10,6,6.09,4,3,6.51,41,58.35,40.2,9.34,46.92
9.71,3,3.91,33,8,6,5,5,2,3,5.13,3,2,4.62,69,24.83,68.1,6.59,55.76
7.0,1,3.01,25,9,1,7,2,6,7,12.65,5,1,4.22,51,65.15,53.099999999999994,16.12,62.25
9.45,3,0.51,13,3,8,4,6,9,5,17.1,2,2,7.78,59,28.88,40.1,24.67,44.03
9.68,2,2.6,14,4,4,8,5,3,8,21.04,2,1,6.19,50,55.67,49.0,28.16,53.08
7.58,3,2.32,33,10,4,4,5,3,10,5.31,2,1,7.6,53,38.08,39.2,8.36,46.44
6.36,3,2.31,21,2,8,2,3,4,4,9.36,4,3,6.11,64,32.46,50.1,20.28,62.59
8.32,2,1.62,34,3,1,1,6,2,2,22.47,4,2,7.29,66,62.75,23.200000000000003,44.66,59.14
9.26,2,1.39,27,9,5,5,2,7,3,18.48,2,1,8.48,84,65.49,34.9,38.52,67.32
8.71,1,1.66,35,9,10,5,6,1,3,7.87,4,1,8.4,91,58.05,51.599999999999994,14.51,63.2
7.57,3,2.18,21,7,4,10,9,2,3,11.71,2,2,8.26,53,60.73,35.8,24.59,59.4
8.92,1,1.91,21,1,7,9,5,3,10,5.26,4,1,7.02,57,33.97,40.099999999999994,10.88,52.12
6.41,2,3.4,15,10,6,2,1,3,10,10.47,1,3,4.58,40,56.76,62.0,20.53,61.21
7.88,1,3.31,31,1,5,9,3,6,5,10.34,2,3,8.23,51,53.36,66.1,12.68,49.51
9.35,2,3.09,35,7,5,5,7,10,10,8.1,3,2,6.88,86,20.89,64.9,16.93,70.12
9.27,2,2.79,20,10,3,7,5,7,10,6.85,4,1,7.32,65,42.19,41.9,10.42,53.77
8.45,3,2.82,34,9,8,10,3,9,2,15.83,5,2,8.97,75,42.97,68.2,20.66,55.16
6.08,2,2.94,25,8,4,5,9,1,1,13.14,5,3,5.92,54,66.56,55.4,24.56,64.2
8.75,1,1.2,34,6,1,3,9,3,7,17.39,2,1,6.68,51,66.1,23.0,25.81,53.89
8.52,2,3.19,30,3,10,8,5,4,8,18.91,4,2,4.24,40,39.48,78.9,33.12,67.47
8.2,3,2.69,18,7,7,2,8,8,4,12.15,3,3,7.09,92,21.0,61.9,15.48,56.69
8.94,1,0.99,19,3,3,8,6,5,1,17.1,1,3,5.28,42,47.68,33.9,36.28,59.12
8.24,2,2.53,23,2,3,7,6,1,10,11.12,1,2,4.82,76,63.84,38.3,22.2,65.31
8.61,3,2.75,12,7,3,3,1,9,7,15.74,2,1,6.55,89,38.21,42.5,34.23,68.38
9.42,1,2.28,27,8,6,5,8,8,2,23.63,2,2,6.7,91,36.24,40.8,48.94,66.79
6.59,1,2.7,13,10,8,7,8,2,6,8.52,3,2,6.44,79,34.08,62.0,17.5,72.26
7.79,3,3.02,14,3,8,7,8,1,7,9.15,1,3,5.11,73,36.24,56.2,19.75,70.25
8.16,1,0.53,21,2,8,9,9,5,6,5.89,2,3,4.6,53,40.27,44.3,12.9,61.14
9.44,1,3.42,21,4,10,3,9,7,9,16.19,2,1,7.84,70,35.2,66.2,28.55,59.77
7.03,2,3.45,15,5,9,2,9,5,8,23.46,1,2,4.59,91,65.3,66.5,46.51,76.57
7.09,1,3.64,21,8,6,6,10,7,2,15.73,2,3,7.37,60,44.72,67.4,19.56,51.38
8.4,3,0.79,31,8,8,5,10,3,8,11.41,4,2,5.11,84,34.02,32.9,21.16,59.78
6.21,1,3.8,14,3,4,1,9,3,3,13.71,2,2,5.41,70,43.82,50.0,27.19,69.12
7.31,1,2.12,19,2,5,2,4,3,10,12.14,4,3,8.66,85,60.5,43.2,14.77,58.0
8.65,2,0.92,16,6,6,1,1,1,5,17.08,1,3,5.67,49,32.87,42.2,35.02,53.68
8.6,3,2.25,29,6,10,7,4,8,7,14.88,4,3,5.29,64,57.02,63.5,20.61,60.69
8.66,1,2.17,19,8,6,5,1,6,2,11.57,2,2,8.09,60,23.13,50.7,23.67,57.87
8.49,2,2.83,33,10,8,4,6,2,6,15.4,4,2,5.54,57,69.84,54.3,33.05,70.77
8.61,2,3.34,32,5,8,9,1,1,1,5.56,2,3,4.22,84,53.04,75.4,10.96,73.91
7.61,1,1.04,14,2,9,7,7,3,8,11.23,1,3,7.72,52,40.77,42.4,22.08,55.1
9.78,1,1.67,30,6,2,4,10,2,1,15.94,1,1,5.83,68,47.8,42.7,20.02,54.22
6.68,2,1.91,19,1,2,3,9,4,1,23.0,3,1,7.74,86,57.42,30.099999999999998,48.57,58.61
7.02,3,0.79,16,2,9,4,6,1,2,16.07,3,2,6.12,88,38.5,47.9,28.12,60.68
7.67,1,2.43,17,5,2,1,7,3,9,8.71,5,2,6.33,54,29.24,48.3,18.39,59.42
8.81,3,2.04,30,8,9,5,5,6,9,16.21,5,1,6.34,94,21.05,49.4,30.6,67.17
9.54,3,1.93,26,2,8,5,6,6,10,22.64,2,1,7.09,74,48.38,49.3,33.42,56.97
9.11,2,1.75,33,4,9,3,10,8,5,13.35,2,1,7.11,76,50.83,53.5,27.4,61.98
6.41,2,3.92,24,7,1,7,2,10,1,17.28,1,2,5.88,63,32.0,50.2,34.37,58.34
6.83,2,1.76,18,2,6,3,8,10,1,21.15,5,2,4.89,45,59.5,52.6,43.75,60.67
6.47,1,3.52,17,2,4,6,10,8,4,16.8,2,3,6.79,89,46.55,48.2,32.65,67.25
9.15,2,2.91,14,10,8,5,1,2,9,13.19,1,2,5.17,46,37.82,66.1,19.92,55.38
8.83,3,1.62,21,8,4,9,7,5,8,11.22,2,1,7.08,78,52.81,30.200000000000003,16.18,49.02
8.25,3,0.87,34,6,9,2,3,8,3,7.86,2,1,6.92,80,21.36,53.7,15.56,60.43
7.53,3,3.32,36,10,10,4,4,10,5,20.66,3,2,5.41,95,40.03,70.19999999999999,41.09,70.77
6.04,3,1.52,17,8,5,5,6,3,8,23.75,1,1,7.61,41,25.81,35.2,34.03,43.33
7.87,2,3.1,22,9,1,2,10,8,3,13.19,5,3,6.34,76,49.99,40.0,15.84,49.39
6.85,3,0.99,36,9,7,2,4,4,7,10.03,3,3,8.15,51,46.93,42.9,21.46,57.24
9.45,2,0.99,16,8,2,3,1,6,8,23.45,4,2,6.93,89,67.03,32.9,44.18,66.84
7.05,3,3.6,16,3,5,8,9,3,2,15.71,4,3,5.16,77,61.5,52.0,20.78,62.41
6.11,1,3.09,22,4,3,3,5,8,1,5.35,1,1,5.93,56,68.22,56.9,7.24,58.22
8.95,2,2.95,32,7,5,6,5,5,3,18.17,3,3,7.87,71,40.79,45.5,27.92,58.52
7.09,1,1.77,31,5,4,2,9,4,8,4.27,1,3,7.95,52,33.66,41.7,9.24,58.83
8.26,1,2.79,26,2,7,8,6,4,9,19.62,4,3,6.9,58,46.56,68.9,38.86,68.45
6.79,1,0.66,35,4,5,8,3,8,4,11.46,3,2,8.88,90,29.58,35.6,17.4,53.4
6.47,1,3.15,18,10,10,5,2,3,4,9.13,4,1,7.47,47,38.52,64.5,15.2,51.07
8.18,2,3.49,26,2,1,6,10,7,10,11.82,2,1,6.36,79,21.06,45.900000000000006,25.77,62.79
7.25,2,2.84,30,10,4,9,5,7,9,16.68,3,2,4.21,95,20.93,50.4,26.14,60.69
6.24,3,3.28,33,9,3,10,6,10,5,23.47,4,1,7.59,58,39.53,49.8,41.79,54.94
7.05,1,1.83,30,2,3,2,4,10,9,8.98,4,2,5.49,79,28.85,30.3,13.19,54.03
6.54,1,3.91,31,1,7,9,2,1,8,20.46,3,1,6.49,92,39.86,64.1,32.05,63.68
8.32,2,3.76,12,9,10,3,5,6,3,24.28,2,1,8.31,92,48.74,74.6,49.04,71.95
8.65,3,0.76,23,4,6,9,9,4,8,7.63,2,3,5.49,65,64.96,34.6,9.9,58.27
9.77,3,3.77,35,9,8,7,10,6,5,22.02,5,1,5.62,88,66.71,73.7,32.17,74.99
9.22,3,0.64,20,1,5,9,10,2,4,19.08,5,2,5.53,73,55.15,37.4,41.35,70.07
6.31,2,2.69,28,7,2,2,3,8,1,18.64,4,2,6.7,91,34.43,46.9,30.59,60.79
8.75,1,2.16,31,1,7,10,6,4,1,12.66,5,1,5.19,65,44.4,59.6,24.52,68.89
9.42,2,2.63,34,1,2,2,8,2,9,6.74,5,2,6.44,69,63.87,46.3,12.25,66.98
7.74,3,3.81,30,8,6,9,5,9,1,21.99,3,3,4.87,72,48.84,58.1,34.33,64.26
8.66,3,2.42,29,2,6,9,2,10,9,9.64,4,3,6.42,86,46.5,50.2,13.55,59.48
8.33,1,2.09,29,3,2,10,5,6,10,13.61,1,2,7.42,71,68.22,31.9,26.79,63.98
8.89,2,3.7,23,5,7,2,2,7,4,5.13,1,2,4.68,81,48.59,64.0,6.21,66.84
9.5,2,1.02,34,5,1,1,2,10,1,10.11,5,2,8.97,40,24.46,23.2,18.29,44.02
6.17,2,3.97,13,5,6,3,6,1,8,7.29,5,1,4.77,42,32.52,71.7,14.85,62.78
7.16,2,2.08,33,8,3,6,7,5,10,16.41,5,2,5.08,54,68.05,29.8,25.72,53.22
6.72,1,2.16,17,2,4,2,1,8,9,7.16,4,1,4.89,48,62.53,34.6,10.54,56.95
7.69,3,2.81,32,3,10,4,3,4,6,14.91,2,2,4.71,42,32.02,59.1,20.67,52.68
9.59,2,1.94,23,8,6,9,3,7,9,18.64,2,1,5.22,58,38.26,41.4,24.76,47.04
6.8,2,0.62,22,4,9,1,4,8,6,5.01,4,1,6.03,49,49.22,46.2,9.46,57.71
8.71,1,3.24,36,7,9,5,7,8,1,14.54,2,2,4.18,82,31.94,69.4,27.87,68.97
9.61,2,1.35,22,1,6,5,4,10,9,22.46,4,3,8.24,87,37.6,31.5,38.33,50.78
7.98,2,2.39,15,10,10,4,5,5,7,12.14,1,1,4.74,86,42.97,73.9,23.03,70.66
7.77,1,2.91,32,5,5,10,3,9,10,18.73,3,1,8.91,83,51.04,53.1,31.1,62.8
9.18,2,3.59,25,2,9,9,10,4,2,11.32,4,2,6.4,48,57.78,66.9,17.76,57.75
6.84,2,0.82,24,6,7,6,8,10,3,16.92,3,1,6.05,62,48.75,48.2,36.17,61.71
7.08,1,1.18,18,7,3,5,7,7,4,10.61,3,3,6.89,77,63.83,37.8,22.06,66.0
6.83,2,0.87,27,9,7,3,1,5,10,11.82,1,3,7.42,41,65.49,30.7,15.62,47.23
7.62,3,2.52,19,6,8,8,10,10,7,6.37,2,2,4.98,48,20.51,64.2,12.31,57.34
9.59,1,2.73,35,5,1,3,7,10,4,22.98,3,2,4.06,78,49.21,34.3,31.98,59.81
7.65,2,1.44,33,7,3,1,6,2,7,19.53,2,2,6.52,68,62.76,23.4,23.59,47.37
9.79,1,2.52,31,9,6,3,3,1,3,19.96,3,1,4.66,57,30.55,63.2,32.56,62.93
6.32,3,3.4,18,6,7,4,10,1,6,19.38,4,3,8.51,80,67.54,64.0,29.66,60.84
8.69,1,0.7,16,5,9,1,10,3,2,9.19,5,1,6.85,80,32.16,51.0,16.85,58.54
8.07,3,2.47,36,8,5,5,6,6,3,15.52,5,3,6.52,83,65.61,44.7,23.6,60.58
9.22,2,3.7,20,3,2,4,4,10,1,20.23,5,3,7.96,88,29.3,59.0,36.05,59.82
8.48,2,2.88,14,6,8,8,9,10,5,24.71,5,2,4.28,95,43.02,67.8,49.22,79.45
7.59,3,1.43,36,8,5,2,10,5,3,6.15,3,1,7.41,86,28.83,35.3,11.51,56.34
6.77,1,2.36,12,1,7,3,7,8,3,16.19,5,3,8.02,92,66.61,60.599999999999994,23.5,64.55
8.68,2,1.5,16,5,9,10,10,2,2,14.36,4,1,4.19,55,50.95,57.0,27.45,63.98
8.74,3,1.21,29,8,6,6,5,9,4,23.86,5,2,8.92,80,23.78,44.1,34.52,48.9
8.43,3,0.58,27,2,3,9,8,2,7,10.61,3,3,8.74,73,30.4,16.8,22.16,55.13
9.62,1,2.8,24,5,4,6,6,6,3,24.09,5,1,5.32,71,42.69,46.0,35.33,60.97
9.05,2,0.69,33,10,5,2,5,10,9,14.72,1,1,5.77,65,46.52,30.9,31.14,63.93
9.21,3,2.5,21,4,8,8,7,4,10,18.15,1,1,8.21,88,41.11,49.0,32.1,63.32
9.33,2,3.85,23,9,10,4,6,9,2,8.96,2,1,6.05,48,22.21,87.5,12.78,60.68
8.07,2,1.09,26,2,10,2,8,1,9,23.1,2,2,8.93,62,22.62,42.9,44.76,54.27
8.81,1,3.42,29,5,1,1,6,2,4,16.69,1,2,4.5,48,60.96,47.2,20.12,51.67
7.33,2,1.0,18,10,3,10,1,9,7,17.31,1,1,5.12,49,59.9,38.0,23.29,55.15
8.38,1,3.23,18,6,2,2,3,10,2,23.77,3,2,4.53,55,57.52,51.3,33.16,55.92
9.6,3,3.05,19,5,2,6,7,7,9,7.31,2,1,7.23,88,63.26,41.5,12.83,62.5
8.43,1,3.66,21,4,6,7,2,10,3,9.96,1,3,8.66,51,58.82,55.6,16.82,60.46
8.62,2,1.52,24,1,3,3,5,1,4,22.68,5,2,8.7,48,65.39,34.2,29.22,44.49
8.15,2,2.83,17,9,4,10,9,9,10,16.79,1,3,4.63,91,40.43,56.3,36.63,69.46
7.71,1,0.51,28,10,8,6,3,1,1,14.64,3,3,8.9,85,61.03,34.1,22.79,57.74
6.57,3,2.09,14,10,4,2,5,8,10,5.68,4,2,8.55,50,69.14,38.9,9.34,55.81
