gpa,college_tier,study_time,switch_months,risk_score,ambition_score,stability_score,learning_score,salary_priority,wlb_preference,ctc,company_type,location_tier,workload_score,skill_match,savings_rate,switch_probability,predicted_2yr_salary,satisfaction_score
9.58,3,3.7,24,9,4,7,10,7,3,9.7,2,3,4.36,70,27.03,68.0,14.46,66.31
9.73,1,2.41,20,1,7,1,5,2,5,11.76,1,3,8.48,59,50.14,54.1,25.78,57.65
9.02,3,0.95,25,9,10,4,6,1,2,15.16,2,1,4.2,93,67.85,56.5,26.85,77.67
8.19,1,1.99,25,2,6,4,3,3,5,12.32,2,3,6.11,63,30.27,44.9,26.48,61.24
7.4,3,0.89,25,10,2,4,5,9,9,15.47,2,1,7.45,54,36.83,26.9,20.4,39.09
9.39,1,2.55,32,2,5,10,8,4,2,6.29,2,2,7.19,51,56.69,45.5,7.85,52.91
6.97,2,1.31,21,7,9,10,5,4,5,5.96,1,1,8.34,59,54.54,55.1,7.2,51.96
7.07,2,3.84,26,4,8,6,8,3,7,7.57,5,2,5.46,51,22.83,62.4,14.1,55.39
8.92,2,1.92,20,10,3,1,3,5,3,12.15,4,3,6.84,41,30.95,36.2,21.08,50.01
6.37,3,3.96,23,7,1,7,6,6,6,8.43,3,3,6.37,83,39.85,60.6,15.16,66.37
9.78,3,1.16,29,2,6,4,3,9,7,24.99,5,2,7.31,78,54.42,30.6,41.42,53.78
8.16,3,2.93,12,5,2,5,10,8,7,22.04,1,2,6.85,89,51.89,52.3,32.46,56.9
7.66,3,0.86,27,5,10,4,3,1,3,18.54,3,3,7.65,40,60.37,39.6,23.9,44.8
9.35,1,3.81,18,6,4,1,10,7,10,13.89,1,3,5.52,59,44.15,70.1,25.36,60.87
7.31,1,3.13,21,6,9,5,1,9,10,10.85,5,1,4.43,51,36.71,71.3,18.08,66.31
8.85,3,1.27,26,1,1,2,1,3,9,12.79,4,2,7.26,86,57.54,20.7,18.96,57.53
9.66,1,1.84,17,3,1,3,10,5,5,10.47,3,1,6.34,76,64.69,28.400000000000002,15.08,54.89
7.75,3,1.39,23,3,1,8,7,4,4,11.33,3,1,8.69,79,40.09,17.9,22.06,52.43
8.71,3,3.73,33,4,3,2,8,8,1,21.89,5,1,8.65,75,44.2,59.3,27.52,52.25
9.64,2,2.12,24,6,10,10,4,2,2,23.93,2,3,5.11,53,24.22,64.2,35.8,60.94
7.34,2,3.68,31,8,3,2,7,7,7,10.31,1,3,5.64,74,31.33,53.800000000000004,20.52,61.13
8.22,3,3.99,14,7,8,5,3,2,1,15.8,2,1,8.61,46,64.27,63.900000000000006,30.28,63.35
8.22,2,3.14,29,3,9,7,8,6,2,17.87,4,2,5.66,81,67.85,71.4,33.48,70.7
6.68,2,2.77,20,3,9,3,3,3,8,24.73,2,1,5.85,51,40.75,73.7,41.96,66.54
9.46,2,2.29,18,5,10,7,4,3,5,7.2,3,3,4.46,75,58.7,58.9,10.55,62.27
8.08,3,1.4,12,2,3,5,7,4,6,5.44,4,2,5.01,54,26.36,38.0,7.11,49.97
6.44,1,1.89,22,7,10,10,3,8,10,9.5,4,2,6.97,81,43.41,58.9,15.19,57.29
7.63,3,2.1,36,6,8,7,7,8,5,9.03,3,1,7.71,87,36.1,65.0,15.86,60.45
9.42,1,2.44,27,8,6,5,10,4,8,15.56,2,1,7.39,44,30.41,62.4,27.01,59.22
7.0,2,2.33,18,4,8,8,1,10,7,8.64,5,3,6.38,42,29.81,59.3,11.43,48.28
8.41,2,2.91,31,2,8,5,10,2,6,21.25,2,1,8.43,81,66.33,71.1,31.06,65.47
7.99,2,1.27,25,6,6,6,2,6,3,18.57,4,3,5.19,62,36.32,43.7,23.79,47.13
6.63,2,1.38,26,8,8,2,6,8,8,17.17,3,1,5.64,58,41.78,44.8,22.88,54.7
7.73,3,0.64,12,7,4,2,4,8,6,17.69,4,3,6.14,80,64.88,20.4,24.7,53.05
7.03,3,2.88,32,1,9,1,8,5,1,24.89,3,1,8.11,66,39.82,66.8,45.99,65.1
6.36,1,3.9,14,6,8,8,9,6,8,22.75,4,2,5.17,87,33.35,70.0,32.71,68.64
9.0,1,3.25,25,4,1,7,2,8,5,14.34,1,3,5.52,52,53.61,36.5,26.28,55.94
8.72,2,2.83,14,1,10,10,8,8,9,9.17,5,1,8.98,82,38.16,66.3,11.36,60.61
6.81,3,2.15,35,9,9,8,9,4,4,6.99,3,3,8.92,84,66.49,59.5,11.75,68.04
9.75,3,2.84,29,1,8,9,10,8,4,22.24,5,2,5.07,63,54.75,55.4,39.02,62.64
6.5,1,2.1,31,6,9,5,9,2,8,8.9,1,3,8.18,59,37.97,55.0,19.47,63.2
7.75,3,2.32,22,2,2,8,5,10,4,20.51,2,1,6.08,51,44.91,39.2,29.33,55.14
7.93,1,2.71,12,6,3,3,7,4,6,6.17,1,2,6.91,76,68.38,53.1,12.9,69.96
8.99,3,2.47,15,3,9,7,2,5,4,18.98,5,3,4.05,56,23.79,70.7,24.29,54.3
8.05,2,1.64,28,9,1,6,5,7,2,8.78,4,1,8.18,63,54.38,21.4,10.96,46.05
6.42,3,2.27,26,7,6,2,1,6,1,8.9,3,2,8.07,77,29.41,48.7,15.23,59.63
9.72,2,2.73,16,8,4,9,1,8,5,6.87,5,2,5.91,65,49.2,53.3,11.9,66.29
7.11,3,3.35,22,10,2,6,8,6,3,18.04,2,3,5.34,94,56.93,40.5,23.24,64.18
9.17,3,2.43,22,4,9,8,1,1,6,13.9,3,2,6.82,88,40.7,62.3,22.34,64.17
7.11,2,3.06,17,1,1,2,4,3,9,12.37,1,1,7.12,80,51.69,50.6,25.58,61.91
8.83,1,1.85,36,7,6,2,2,2,1,15.64,4,1,7.29,42,42.54,50.5,31.82,52.28
7.49,1,2.96,35,10,7,9,2,8,5,24.4,3,1,4.1,57,20.33,51.6,35.39,50.65
7.62,2,3.96,24,8,9,1,5,5,7,12.42,3,2,6.82,90,29.82,76.6,20.93,65.09
6.31,1,2.71,30,3,10,7,1,7,3,17.49,4,1,5.59,57,26.45,65.1,31.67,57.11
8.72,1,3.54,17,8,9,3,9,9,2,14.6,2,2,8.44,46,24.12,63.4,19.21,51.15
9.33,2,1.53,13,6,8,7,6,8,6,10.69,1,2,5.87,76,55.24,48.3,18.46,63.04
7.23,2,3.07,22,2,3,5,10,9,3,15.15,1,1,7.95,78,37.74,42.7,18.55,51.37
8.37,1,2.23,25,7,9,9,3,9,5,19.07,3,3,4.13,78,30.33,69.3,36.22,71.27
7.88,1,1.44,28,5,6,2,5,6,7,13.82,2,3,5.9,64,49.73,46.4,17.53,53.19
8.56,3,2.14,28,3,8,1,10,7,1,13.97,1,1,4.19,94,68.64,58.400000000000006,17.33,70.94
6.4,2,3.26,22,2,6,5,1,3,7,15.46,3,3,8.07,48,25.98,61.599999999999994,31.62,56.8
7.97,1,1.22,32,1,1,5,8,7,9,20.05,1,3,7.59,65,35.77,29.2,37.45,54.89
8.38,2,1.19,12,2,9,7,1,5,3,8.87,5,2,7.21,54,47.6,41.9,17.85,53.95
8.72,3,0.88,36,10,4,10,3,7,10,13.18,2,2,6.57,92,58.98,33.8,27.29,62.44
9.21,2,1.72,21,8,4,9,6,6,7,5.57,2,2,6.12,91,42.93,49.2,10.16,64.14
7.87,3,3.86,24,8,4,3,7,8,5,10.6,2,3,6.32,44,53.71,50.6,13.16,52.79
8.77,2,1.81,34,10,1,5,5,7,9,23.8,1,2,8.56,43,54.68,30.1,39.91,51.68
9.7,1,1.37,17,5,7,6,6,6,2,22.93,5,2,6.02,52,41.02,52.7,46.22,60.48
7.79,3,2.63,21,8,7,9,2,8,8,21.65,3,1,8.53,54,55.28,51.3,34.98,57.51
8.17,1,2.41,15,6,4,3,9,1,9,20.39,4,3,6.08,68,40.69,56.1,39.64,68.48
8.23,2,1.69,14,7,8,1,3,7,7,10.44,4,3,8.63,93,24.51,40.9,17.4,59.09
6.95,3,2.51,30,9,3,2,1,9,7,8.19,5,2,8.22,45,69.36,38.099999999999994,12.34,47.46
9.08,1,2.55,16,1,3,10,9,5,8,4.39,4,2,4.79,95,49.93,39.5,7.32,64.03
9.17,2,2.04,27,6,8,8,10,3,4,13.56,3,3,7.15,54,52.14,64.4,17.3,52.62
7.36,2,3.71,31,1,6,10,9,9,8,12.59,3,1,5.08,78,35.38,68.1,23.02,65.6
9.32,2,1.21,13,4,6,9,7,2,5,12.37,1,3,4.9,79,44.61,35.1,21.76,60.72
6.63,1,2.76,13,5,2,9,4,5,3,18.39,4,3,6.61,86,60.75,49.599999999999994,26.38,63.92
7.62,3,2.02,29,1,1,5,7,6,6,24.72,5,3,6.71,86,65.73,35.2,50.01,66.62
9.54,3,1.24,32,1,9,4,9,9,5,20.84,4,1,5.69,40,63.76,59.4,31.69,58.37
7.59,2,1.11,22,6,5,3,10,5,4,8.75,2,2,6.03,93,28.17,37.1,13.37,56.43
6.98,2,0.65,12,1,8,9,7,4,1,16.82,1,1,4.81,51,68.74,36.5,32.2,59.78
6.69,3,0.82,35,7,2,5,3,7,6,23.21,3,1,7.66,52,67.21,33.2,45.78,57.41
8.94,3,2.68,26,10,4,10,10,6,7,17.34,3,2,7.72,64,61.25,41.8,26.22,58.85
7.13,1,2.86,19,10,6,9,6,1,3,14.7,5,3,5.76,85,45.84,62.599999999999994,20.83,64.21
6.89,2,0.53,28,5,5,2,4,2,7,23.93,4,1,4.04,60,22.29,24.3,33.33,49.95
6.3,1,3.1,15,4,4,2,8,4,10,4.81,5,3,5.63,74,25.76,54.0,7.19,56.13
9.09,1,2.24,13,4,7,6,4,10,2,22.3,1,1,6.45,52,53.16,60.400000000000006,42.33,61.28
6.0,3,2.58,20,5,5,9,10,7,8,14.09,5,1,5.44,52,65.04,52.8,25.14,61.6
9.16,3,1.56,36,8,2,5,1,2,7,4.27,4,3,6.93,83,42.29,38.6,7.99,56.51
8.44,1,1.88,17,1,9,2,8,1,7,21.43,5,2,5.67,53,27.16,61.8,37.69,57.88
6.76,2,3.99,12,8,2,9,2,10,2,10.06,2,2,7.16,94,33.46,62.900000000000006,19.73,66.14
7.44,1,3.79,29,1,6,1,1,3,7,21.53,2,1,4.92,67,31.5,65.9,32.21,62.01
7.74,1,1.16,13,5,4,7,6,2,6,4.72,4,2,5.42,77,65.14,23.6,8.05,62.91
7.01,1,1.29,20,8,4,1,9,7,1,12.34,4,1,8.48,72,49.78,42.9,19.77,51.96
8.09,3,0.97,25,1,1,10,3,7,3,19.73,4,2,7.28,95,26.41,15.7,30.66,52.72
7.59,2,2.75,33,9,5,7,8,5,2,20.32,1,2,8.8,43,45.4,45.5,29.44,44.22
7.56,1,0.76,32,1,7,9,5,7,5,5.97,5,1,4.52,77,37.04,46.6,8.6,63.49
8.37,3,2.74,31,2,4,8,7,6,9,9.38,4,3,5.38,57,50.7,59.400000000000006,11.31,53.78
8.12,1,2.85,22,4,2,5,10,1,7,13.74,1,2,5.73,48,66.81,40.5,26.64,65.05
6.2,3,0.73,21,6,1,9,1,1,10,21.87,4,3,7.81,88,27.0,11.3,40.28,47.93
9.69,3,2.49,18,10,4,2,1,1,10,18.7,1,1,5.79,72,40.19,47.900000000000006,29.07,53.55
8.09,3,2.6,26,9,1,7,2,5,2,19.33,3,1,4.41,93,54.21,45.0,40.96,77.13
8.69,2,3.52,14,4,8,2,1,4,2,18.81,3,3,8.74,61,66.78,79.2,37.44,68.92
6.36,3,3.08,30,4,5,1,7,2,9,21.58,3,3,5.35,61,38.53,45.8,27.38,48.15
6.52,1,3.83,20,3,7,8,2,4,2,17.09,1,1,8.56,71,36.31,64.3,36.81,68.32
8.77,3,0.59,27,8,6,9,10,9,4,4.49,2,1,8.08,56,41.78,28.9,6.32,42.78
8.4,3,3.62,22,9,7,5,6,6,9,16.11,2,3,5.19,59,43.71,73.2,30.28,62.38
9.71,1,1.25,17,7,10,6,6,1,2,4.37,4,2,7.96,81,68.11,59.5,8.36,66.69
8.92,2,3.13,20,5,2,7,3,2,5,12.19,5,3,6.02,75,64.95,52.3,16.24,58.66
6.22,2,2.35,12,9,2,10,8,9,10,18.42,4,1,5.59,75,44.71,43.5,37.58,64.58
8.4,1,1.13,35,10,1,10,8,9,5,5.59,3,1,8.22,60,35.51,24.299999999999997,10.22,44.95
9.33,3,1.56,14,8,10,10,6,2,9,15.05,3,3,8.89,78,47.73,64.6,32.21,66.39
9.54,2,1.88,14,7,5,9,5,4,6,5.13,1,1,4.13,92,29.42,47.8,10.45,65.62
9.66,2,3.1,14,9,1,9,3,10,6,16.71,5,1,6.55,72,45.75,40.0,33.68,65.08
9.73,2,3.39,13,2,1,3,3,5,9,14.64,3,2,7.5,72,34.79,55.9,25.85,60.21
8.62,3,2.95,20,3,3,4,5,3,9,15.53,4,2,5.2,56,55.33,56.5,25.37,58.48
7.61,3,0.63,34,7,7,4,8,9,6,11.69,2,2,4.85,41,54.77,38.3,23.97,57.8
8.73,1,3.93,14,3,7,7,8,7,1,5.52,4,1,7.73,62,56.75,72.30000000000001,9.83,61.28
6.72,1,1.18,20,6,9,10,10,6,4,10.98,4,3,8.88,47,59.05,48.8,18.76,58.29
8.93,2,3.67,12,5,6,4,6,9,2,8.33,3,1,8.51,47,25.45,62.7,12.37,53.53
6.32,2,1.03,15,3,10,3,9,7,10,21.16,3,3,4.24,53,55.75,57.3,41.93,66.04
8.95,2,1.61,36,9,6,1,1,8,6,15.07,4,1,8.72,56,30.94,41.1,30.25,57.02
6.7,3,2.29,19,4,1,10,3,10,4,9.01,5,2,5.18,86,49.56,45.9,13.54,58.73
9.3,2,0.55,20,7,5,8,1,3,10,6.61,3,3,7.25,94,60.22,24.5,12.7,61.86
7.02,1,1.1,27,8,4,8,5,9,10,16.43,4,1,7.06,82,22.22,32.0,32.1,59.07
9.46,2,1.26,26,1,7,8,7,7,2,7.3,1,3,6.07,40,44.68,39.6,9.87,48.8
8.11,1,1.28,28,5,4,1,7,6,5,11.19,2,2,5.9,50,56.55,32.8,23.65,55.34
8.15,2,1.42,15,2,8,8,9,9,8,23.79,4,1,5.8,47,26.91,44.2,36.28,52.44
8.36,2,1.83,15,10,1,6,8,2,2,12.43,2,1,8.98,45,54.79,34.3,17.85,42.81
8.27,3,3.88,30,7,5,2,9,2,3,8.31,2,3,7.84,41,20.62,53.8,15.77,51.92
6.42,2,1.92,22,8,1,9,3,1,10,13.82,4,3,8.92,89,48.67,32.2,23.14,56.15
7.88,3,1.55,23,10,4,2,5,7,4,22.11,5,3,8.8,94,67.0,44.5,45.99,64.64
8.65,1,2.67,22,8,4,3,8,5,9,18.71,5,2,5.03,70,48.02,53.7,39.59,65.29
8.85,3,2.64,19,10,7,10,5,5,3,18.33,5,3,4.9,90,58.4,66.4,26.18,67.87
7.74,3,2.72,31,9,8,6,10,6,9,20.52,2,3,5.03,80,24.09,57.2,30.32,56.98
9.12,3,3.02,18,9,1,9,2,7,6,11.78,3,1,5.93,88,41.65,50.2,20.71,62.52
8.44,2,2.5,16,2,2,10,7,1,2,23.94,4,2,6.53,83,54.86,48.0,40.27,63.94
8.14,2,1.22,29,5,3,2,5,4,6,15.16,1,2,6.42,89,34.16,31.2,30.3,61.17
9.01,2,3.49,17,5,1,1,3,10,2,13.58,3,2,8.58,76,26.19,55.900000000000006,18.35,54.3
7.18,1,3.65,15,10,6,2,5,9,6,15.09,4,1,6.35,93,37.13,71.5,29.46,70.1
8.8,3,2.55,22,4,8,7,5,8,8,14.73,5,1,5.06,67,68.49,65.5,22.29,61.86
6.99,3,3.27,25,5,2,2,2,2,7,11.72,3,2,7.13,95,69.62,51.7,21.03,68.74
8.44,3,3.76,22,7,5,7,8,6,7,6.05,5,2,6.97,84,36.2,58.599999999999994,11.51,64.03
6.66,2,2.45,27,7,1,1,2,9,6,10.12,3,3,6.32,58,22.29,44.5,22.23,63.94
7.15,1,1.81,20,4,7,7,6,4,8,4.06,1,3,7.9,56,46.51,59.1,7.32,59.15
8.41,2,2.86,30,4,5,1,10,3,2,13.51,3,3,7.17,83,25.14,58.599999999999994,16.65,50.99
7.74,2,3.03,15,1,2,4,10,10,7,22.02,2,2,6.7,69,52.25,41.3,38.46,56.09
6.61,1,3.14,28,1,6,10,7,10,1,17.91,5,3,6.06,50,57.51,65.4,22.1,54.85
8.41,3,2.98,26,8,5,2,10,2,8,24.34,2,1,7.37,82,52.7,55.8,52.72,69.51
6.6,1,3.57,12,1,10,9,7,10,7,21.33,1,3,8.6,70,26.39,67.69999999999999,40.53,57.45
9.4,3,1.31,25,6,1,1,9,7,4,16.97,4,2,7.43,43,49.07,33.1,25.65,45.78
9.37,1,0.69,31,10,10,4,9,5,3,12.17,4,2,5.33,68,54.29,44.9,15.41,57.64
7.16,3,0.69,35,8,5,6,4,5,9,9.03,1,2,7.23,45,64.39,23.9,11.54,48.9
8.77,3,3.11,25,6,7,4,3,8,1,13.49,1,3,4.4,47,22.29,66.1,21.75,59.68
9.49,1,2.72,27,1,1,10,3,7,8,14.44,2,3,8.91,95,21.91,47.2,18.15,48.19
8.08,3,2.77,31,1,5,3,9,4,7,23.54,3,2,8.86,76,30.18,46.7,35.9,55.54
7.47,1,3.74,13,4,10,10,8,4,10,14.81,4,3,7.5,71,35.09,73.4,27.15,67.97
9.14,2,1.92,15,4,1,5,5,3,2,14.49,5,3,4.38,58,57.29,42.2,29.38,67.39
6.51,3,2.02,21,5,5,7,10,10,9,5.0,3,1,4.02,73,61.12,51.2,6.86,64.6
8.79,2,1.07,27,2,6,10,9,7,10,23.13,2,2,8.59,87,50.35,36.7,34.95,54.66
8.84,3,0.57,22,7,7,1,8,5,3,20.57,1,2,5.72,40,47.89,37.7,39.81,58.22
8.33,1,3.84,21,3,3,7,4,1,5,10.1,5,3,6.84,58,55.27,59.4,17.78,59.37
7.34,1,0.55,21,1,5,7,1,1,7,21.62,5,3,8.28,65,21.51,34.5,42.38,54.44
9.15,1,1.56,15,5,10,5,4,9,2,12.7,2,3,6.09,85,54.01,48.6,26.58,64.83
8.07,2,0.86,18,10,7,10,6,10,1,11.72,1,1,5.77,42,63.73,34.6,20.23,51.1
6.33,1,0.77,28,1,9,2,5,7,8,13.66,4,1,8.54,84,42.07,54.7,28.08,69.19
8.43,1,2.74,27,1,3,5,10,7,1,21.6,4,3,4.11,42,54.39,56.400000000000006,27.13,60.18
9.12,2,3.74,35,10,2,8,2,3,10,9.31,4,2,7.65,84,52.44,55.400000000000006,13.84,55.84
9.8,3,1.95,30,6,6,7,9,10,4,8.46,3,2,8.75,47,69.03,56.5,14.14,55.08
9.6,2,3.49,28,1,7,2,5,6,1,20.93,1,3,8.83,86,32.74,70.9,26.88,58.14
8.79,1,2.67,30,2,1,9,8,1,4,21.11,4,3,6.7,79,61.28,47.7,35.22,67.4
7.29,3,1.51,20,8,6,7,5,2,6,10.27,2,2,4.51,52,55.9,44.1,15.24,55.09
7.49,2,2.84,19,2,2,8,5,7,8,19.79,5,1,6.29,48,30.07,42.4,28.23,45.74
9.61,1,0.7,26,10,1,2,7,9,7,8.16,5,1,8.2,68,38.05,23.0,16.5,53.76
6.34,1,1.85,34,9,9,8,1,7,1,21.28,4,3,6.47,46,37.92,56.5,44.05,56.47
6.97,3,0.8,30,8,6,3,7,7,2,21.78,2,3,4.06,84,29.36,28.0,29.06,52.53
9.2,1,2.97,20,5,8,3,5,6,8,13.58,2,2,8.69,89,27.78,72.7,18.39,60.64
9.62,1,2.81,30,1,1,3,6,4,7,12.13,4,3,4.75,54,29.52,36.1,14.76,46.09
8.61,3,3.21,23,8,3,4,10,1,3,24.89,2,1,4.67,73,56.88,43.1,49.79,71.47
9.77,2,2.45,35,7,10,5,4,10,7,23.06,2,1,6.73,72,57.43,58.5,38.34,59.91
9.66,1,2.28,16,5,4,3,3,3,9,6.02,1,3,8.0,53,53.03,53.8,10.39,54.11
7.03,3,0.83,12,5,3,8,8,3,2,15.79,5,1,6.26,48,41.61,30.299999999999997,29.07,51.8
9.36,1,2.81,22,5,7,10,5,7,9,11.59,3,1,4.05,42,45.4,51.1,25.12,67.49
9.42,2,2.13,18,2,10,8,6,5,2,13.47,5,3,4.2,85,50.27,68.3,26.44,76.28
9.33,2,1.88,29,8,2,2,8,5,7,23.35,5,3,6.52,91,35.45,32.8,45.5,59.9
7.19,2,2.74,15,8,5,7,5,7,3,6.41,4,2,8.54,64,26.99,44.400000000000006,11.64,48.04
7.97,3,3.4,18,4,5,1,2,4,4,6.9,1,2,5.45,86,54.82,57.0,8.76,64.72
6.48,1,3.82,14,9,9,1,10,7,1,22.94,1,1,4.35,76,21.05,83.19999999999999,49.67,69.84
9.37,3,1.26,20,10,2,3,3,9,1,20.35,4,1,6.79,92,63.13,21.6,41.46,61.58
6.14,2,1.61,22,6,8,2,5,5,3,14.1,1,3,6.78,49,26.21,40.1,19.44,41.84
6.05,1,1.52,18,1,5,10,10,2,10,8.18,3,2,7.75,54,44.07,48.2,13.21,56.75
8.87,1,3.43,19,7,1,9,10,4,9,20.28,3,2,6.17,74,22.36,51.300000000000004,36.69,59.59
8.18,1,3.51,23,2,2,9,3,1,6,16.23,4,1,4.74,95,62.71,41.099999999999994,29.9,65.23
7.6,1,1.66,22,2,9,6,3,10,9,23.0,2,2,8.95,73,31.16,48.599999999999994,33.46,49.02
9.3,2,3.48,26,5,9,10,9,6,5,11.38,1,3,5.17,61,35.6,63.8,23.43,64.26
9.79,1,3.5,22,3,1,3,1,1,8,10.64,2,1,8.2,74,49.09,44.0,13.28,48.21
